case_id,kidney_and_mass_dice,kidney_and_mass_surface_dice,kidney_and_mass_hd95_mm,kidney_and_mass_volume_error_ml,mass_dice,mass_surface_dice,mass_hd95_mm,mass_volume_error_ml,tumour_dice,tumour_surface_dice,tumour_hd95_mm,tumour_volume_error_ml
case_00002,0.9925,0.9354,3.7578,-1.691,0.9594,0.9263,2.1007,-4.036,0.9131,0.8369,97.303,-4.036
case_00003,0.9929,0.9449,1.7109,0.8797,0.8476,0.7168,232.3778,-1.2807,0.8476,0.7168,232.3778,-1.2807
case_00004,0.9709,0.9019,9.607,12.3558,0.667,0.2123,130.1978,-1.0643,0.667,0.2123,130.1978,-1.0643
case_00006,0.9926,0.9581,0.0,-2.0921,0.8295,0.5835,81.0605,-3.4026,0.7622,0.3642,112.3247,-3.4026
case_00007,0.9922,0.9451,1.8789,-3.6194,0.7961,0.2952,82.0753,-5.4728,0.7961,0.2952,82.0753,-5.4728
