case_id,kidney_and_mass_dice,kidney_and_mass_surface_dice,kidney_and_mass_hd95_mm,kidney_and_mass_volume_error_ml,mass_dice,mass_surface_dice,mass_hd95_mm,mass_volume_error_ml,tumour_dice,tumour_surface_dice,tumour_hd95_mm,tumour_volume_error_ml
case_00002,0.9951,0.9469,1.3286,-5.532,0.966,0.9702,1.0,-5.0589,0.9266,0.9299,1.3286,-5.0589
case_00003,0.9969,0.9587,0.8555,-2.3675,0.8888,0.8966,1.316,-2.276,0.8888,0.8966,1.316,-2.276
case_00004,0.9917,0.9373,2.1837,-7.4196,0.7875,0.3135,4.0,-7.0839,0.7875,0.3135,4.0,-7.0839
case_00006,0.9944,0.9604,0.0,-4.48,0.8478,0.6143,3.0,-3.9826,0.786,0.3944,3.0,-3.9826
case_00007,0.9943,0.9519,0.9395,-6.2089,0.8115,0.3119,3.0,-6.0977,0.8115,0.3119,3.0,-6.0977
